OBJECTID,site_id,name,Functional,longitude,latitude,mapunit,clay_0_10,clay_10_20,clay_20_30,clay_30_40,clay_40_60,clay_60_80,clay_80_100,clay_100_150,sand_0_10,sand_10_20,sand_20_30,sand_30_40,sand_40_60,sand_60_80,sand_80_100,sand_100_150,RASTERVALU
1,1,past1,past,-109.9041667,42.80416667,5608,22,22.8,23.6,20.7,20.1,19.1,12,12.5,55.6,55.2,56,62.4,67.7,68.3,78.6,77.4,222163
2,2,past2,past,-109.6958333,42.0875,5341,14.6,17.5,15.3,15.1,14.9,14.2,15.9,16.8,65.5,53.5,52.8,52.8,52.8,51.2,62.2,64.6,294514
3,3,past3,past,-109.4208333,41.8375,4105,9,14.4,17.3,16.8,14.4,12.4,11.3,18,70.2,70.3,70,70.7,70.5,67.4,68.5,65,319777
4,4,past4,past,-109.8958333,41.7875,2419,12.5,11.6,12.2,13,8.6,7.9,7.9,7.9,61.9,62.5,62.5,67.5,76.3,76.3,76.3,76.3,324766
5,5,past5,past,-110.4875,41.64583333,7141,16.7,17.6,17.6,21.3,21.7,22,25.6,28.5,53.4,51.5,49.2,47.1,46,44.7,42.5,43.7,338992
6,6,RA03,C3,-109.35474,42.53597997,5326,21.2,26.9,30.4,30.9,33.1,32.6,32.2,32.2,57.7,55.6,46.8,46.1,44.5,41.8,41.4,41.4,249141
7,7,RA05,C3,-109.97909,42.58244002,5610,16.8,18.1,16.7,16.4,16.4,16.7,6.6,6.4,61.7,57.4,57.1,57.1,57.1,58.3,76.7,77.8,244861
8,8,RA07,C3,-109.71503,42.66648,5405,19.5,25.8,27.1,27.5,25.2,20.2,20.2,15.3,55.9,48.5,48.4,48.5,50.9,62.7,63,69.4,236483
9,9,RA08,C3,-109.183168,42.51524499,5342,14.2,21.6,24.5,25.6,25.6,9.9,13.9,18.1,65.6,63.1,63.1,63.1,61.1,79.4,75,44.5,251685
10,10,RA10,C3,-109.092141,42.39090499,7815,15.1,19,20.5,21,16.3,13.4,11.5,8.5,65.3,63.3,63.3,63.3,69,74,79.1,84.1,264310
11,11,RA12,C3,-109.196978,42.19810001,NOTCOM,18.50857143,22.69714286,23.34857143,23.41142857,22.97714286,22.24571429,21.28571429,21.17428571,55.10285714,52.22857143,51.02857143,51.26857143,51.95428571,52.76,55.19142857,55.29142857,
12,12,RA14,C3,-109.518822,42.16436603,NOTCOM,18.50857143,22.69714286,23.34857143,23.41142857,22.97714286,22.24571429,21.28571429,21.17428571,55.10285714,52.22857143,51.02857143,51.26857143,51.95428571,52.76,55.19142857,55.29142857,
13,13,RA17,C4,-109.61547,42.74674997,7701,14.7,21.4,23.3,20.1,18.1,13.9,9.3,15,65.1,58.5,53.6,52.2,57.4,66.7,73.6,65,228085
14,14,RA18,C4,-109.77161,42.76767002,2214,19.7,27.8,25.9,21.9,25.2,25.4,25.4,25.4,59.1,53.9,57.1,62.8,58.7,58.5,58.5,58.5,225543
15,15,RA22,C4,-109.44551,42.57128002,2305,12.1,15.3,13.9,11.5,10.7,9.7,9.7,6.6,65.2,66.3,66.6,67.5,69.8,72.1,72.1,78.4,245766
16,16,RA23,C4,-109.67991,42.70081999,9207,12.1,15.3,16.5,16.7,9.2,8.2,8.6,7.2,70.2,69.8,69.8,69.8,78.7,83.2,83.8,85,232282
17,17,RA24,C3,-109.311934,42.11217502,NOTCOM,18.50857143,22.69714286,23.34857143,23.41142857,22.97714286,22.24571429,21.28571429,21.17428571,55.10285714,52.22857143,51.02857143,51.26857143,51.95428571,52.76,55.19142857,55.29142857,
18,18,RA26,C3,-109.265603,41.99123103,NOTCOM,18.50857143,22.69714286,23.34857143,23.41142857,22.97714286,22.24571429,21.28571429,21.17428571,55.10285714,52.22857143,51.02857143,51.26857143,51.95428571,52.76,55.19142857,55.29142857,
19,19,RA29B,C3,-109.56679,42.57787,2205,14.8,19,21.1,21.2,18,14.8,12.8,7,65.8,62.9,62.9,62.9,66.4,73.9,80.5,86.1,244910
20,20,RA31,C4,-109.8045771,42.74145755,5518,20.4,25.7,26.3,25.4,24.2,25.6,23.5,21.9,56.8,50.5,46.9,46.7,48.4,51.5,57.1,59.4,228903
21,21,RA33,C4,-109.9486837,42.74508138,5519,13,19.3,20.2,20.4,20.2,19.6,17.3,19.1,65.8,61.3,61.3,61.3,61.5,62.2,58.2,53.9,228045
22,22,RA40,C3,-109.7592375,42.40369342,5604,20,20.7,20.9,21.6,21.1,19.5,18.1,19.5,46.6,46.9,46.7,45.9,46.6,49.3,49.7,47.3,262548
23,23,unn1,unn,-110.1798272,42.06199323,5610,16.8,18.1,16.7,16.4,16.4,16.7,6.6,6.4,61.7,57.4,57.1,57.1,57.1,58.3,76.7,77.8,296979
24,24,unn2,unn,-109.9376578,42.21282221,5204,21.5,26.5,26.3,26.2,24.9,25.2,25.9,28,41.6,39.5,39.5,39.5,43.1,42.2,38.5,35,281870
25,25,unn3,unn,-110.3095316,42.30897301,5617,17.8,23.2,22.9,22.6,23.1,25.6,26.6,31.4,51.8,40,40,40,39.6,38.8,38.8,37.8,271733
26,26,unn4,unn,-110.2674683,42.47085636,3206,14.7,26.5,27,26.6,21.9,18.1,17.3,16.2,66.8,58.5,52.2,43.8,42.3,50.5,62.3,69.3,255759
27,27,unn5,unn,-110.0788816,42.35572636,5204,21.5,26.5,26.3,26.2,24.9,25.2,25.9,28,41.6,39.5,39.5,39.5,43.1,42.2,38.5,35,267556
28,28,unn6,unn,-110.3700817,42.68963637,3205,22.9,29.4,30,28.9,27,20.3,16.9,15.1,42.9,40,40,41.8,45.9,51.2,53.8,57.7,233881
29,29,unn7,unn,-110.2310374,42.71845183,5612,26.9,37.2,37.7,37.7,36.9,37.6,41,42.7,37.4,46.2,36.8,36.8,37.6,29.6,28.2,28.1,230534
30,30,unn8,unn,-110.1831867,42.86034938,5523,21.2,26.9,30.3,30.9,33.1,32.6,32.2,32.2,57.7,55.6,46.8,46.1,44.5,41.8,41.4,41.4,216243
31,31,unn9,unn,-109.6771023,42.82146149,3601,14.2,14.7,13.4,11.5,10.2,8.9,8.4,8.2,64.3,64.6,67.2,69.8,70.7,70.7,71.5,71.7,220508
32,32,unn10,unn,-110.3915075,41.98431404,4141,18.3,22.8,26.1,27.5,28.5,28.3,27.8,34.5,55.5,52.6,51.2,48.3,47.9,47.9,47.9,31.3,304523
33,33,unn11,unn,-110.0474163,42.92083559,5518,20.4,25.7,26.3,25.4,24.2,25.6,23.5,21.9,56.8,50.5,46.9,46.7,48.4,51.5,57.1,59.4,210372
34,34,unn12,unn,-109.4682544,42.35688054,9216,20.8,24.1,23.5,23.8,25.6,26.1,25.5,23.4,51.9,47,49.6,51.7,52,45.8,44.3,48,267629
35,35,unn13,unn,-109.8783034,41.97727263,9216,20.8,24.1,23.5,23.8,25.6,26.1,25.5,23.4,51.9,47,49.6,51.7,52,45.8,44.3,48,305425
36,37,unn15,unn,-110.3965817,42.9337764,202,19.9,20.3,21.6,26,31.6,34.4,39,38,40.7,40,37.3,34.8,19.9,16.6,13.4,13,208648
37,38,unn16,unn,-110.1924728,42.97413151,5625,30.2,31.5,31.5,32.8,33.1,42.1,42.1,34.9,27.5,27.5,27.5,29.4,29.1,15.6,15.6,28.4,205308
38,39,unn17,unn,-110.0727547,43.05031575,3302,41.3,46.9,49.1,50.8,52.6,51.7,51.1,49.4,15.3,15.3,15.3,15.3,14.1,13.8,13.8,15.3,196913
39,40,unn18,unn,-110.2717676,43.09086396,5329,10.2,10.2,11.7,15.2,21.6,29,27.9,21.5,55.8,55.8,55.4,54.4,47.7,42.8,48.8,60.2,193525
40,36,unn14,unn,-109.0255374,41.86158456,NOTCOM,18.50857143,22.69714286,23.34857143,23.41142857,22.97714286,22.24571429,21.28571429,21.17428571,55.10285714,52.22857143,51.02857143,51.26857143,51.95428571,52.76,55.19142857,55.29142857,
